,name,sex,year_count,year_min,year_max,pct_sum,pct_max
105,Demeter,M,1,1920,1920,0.0004697058514076145,0.0004697058514076145
106,Janus,M,6,1922,2010,0.0018578987477357273,0.0004594304532557079
107,Shu,F,3,1978,2007,0.00106910516783443,0.0004570407784840871
108,Jupiter,M,11,1981,2013,0.003643146616439922,0.0004548712158505434
109,Soteria,F,8,1998,2013,0.002686478090959226,0.00044566780256247846
110,Loki,F,3,2007,2011,0.0009825148690742664,0.00043661544439811467
111,Makar,M,4,2008,2013,0.0013576966325718005,0.0004274721381675445
112,Khloe,M,3,2010,2013,0.0010037887934039502,0.0004182099047788323
113,Amun,M,3,1999,2012,0.0009853862548217236,0.0004076956633412291
114,Maat,F,8,1998,2013,0.002520586709871697,0.0004030795275907937
115,Shu,M,9,1992,2013,0.0026704786897752443,0.0004007391633868671
116,Lakinia,F,1,1976,1976,0.0003412768943256573,0.0003412768943256573
117,Mercury,F,1,2009,2009,0.000327461583298586,0.000327461583298586
118,Ra,F,4,1969,2010,0.0011904145955070672,0.0003264576989172051
119,Pater,M,3,1987,2010,0.0008852791571219227,0.0003216187285017981
120,Agathe,F,3,2007,2013,0.0008859220821444004,0.00031265225513466195
121,Isis,M,2,2001,2006,0.0006014903031798149,0.00030910133423590923
122,Jupiter,F,1,2012,2012,0.0002854099571542572,0.0002854099571542572
123,Saturn,F,2,1996,2001,0.0005633157241492396,0.0002853710251383336
124,Tyche,F,1,1999,1999,0.0002820823545075632,0.0002820823545075632
125,Khepri,F,1,2009,2009,0.0002728846527488217,0.0002728846527488217
126,Aten,M,1,2013,2013,0.0002671700863547153,0.0002671700863547153
127,Set,M,2,1997,2004,0.0005175903001746042,0.00026539404912231533
128,Fenris,M,2,2011,2012,0.0005292733366433963,0.00026497478499945944
129,Horus,M,1,2011,2011,0.00026429855164393696,0.00026429855164393696
130,Megale,M,1,1994,1994,0.00025893011113798227,0.00025893011113798227
131,Phoebe,M,1,2004,2004,0.00025219625105228887,0.00025219625105228887
132,Sia,M,1,1991,1991,0.0002475974382578648,0.0002475974382578648
