,name,sex,year_count,year_min,year_max,pct_sum,pct_max
81,Eli,M,74,1940,2013,4.130109982205354,0.42602645932213096
82,Johnny,M,74,1940,2013,14.79104669746928,0.42347467735882005
83,Dana,F,74,1940,2013,10.968948869508806,0.41672853670691873
84,Jo,F,74,1940,2013,8.282373233481112,0.41495229104445713
85,Juan,M,74,1940,2013,16.692198968341696,0.41225939001853995
86,Jordan,F,57,1950,2013,6.975434883872027,0.41191980727257466
87,Jeremiah,M,74,1940,2013,8.492300979269823,0.4029975194925023
88,Kaylee,F,54,1943,2013,5.979077994296097,0.3932267846110521
89,Levi,M,74,1940,2013,5.154768763599774,0.39215225275145116
90,Jared,M,74,1940,2013,10.412936261732678,0.39050699944138495
91,Suzanne,F,74,1940,2013,11.640855969019436,0.3786408137754225
92,Shaun,M,74,1940,2013,3.7506535787040014,0.3718325572105129
93,Leah,F,74,1940,2013,10.466936160727446,0.3699770121968525
94,Shane,M,74,1940,2013,10.01418704050877,0.3662094499995831
95,Beth,F,74,1940,2013,8.52204306027824,0.3530196694452186
96,Annette,F,74,1940,2013,7.828443231391842,0.3529502526583776
97,Ronnie,M,74,1940,2013,9.470345235559495,0.3525459806432301
98,Gabrielle,F,74,1940,2013,7.016398253152058,0.351179035047679
99,Nathaniel,M,74,1940,2013,11.9987798519551,0.35093544118003395
100,Sally,F,74,1940,2013,8.281511425559001,0.3447512437626755
101,Seth,M,74,1940,2013,8.068210363777004,0.3422095474170441
102,Jace,M,64,1941,2013,2.1206133022198355,0.33882510351504996
103,Ian,M,74,1940,2013,10.547484597579407,0.3349513540938666
104,Josiah,M,74,1940,2013,3.717985815263223,0.33251988947707867
105,Jesus,M,74,1940,2013,10.484709065336014,0.33094449518858016
106,Sue,F,74,1940,2013,6.3801534558694,0.3272770321790591
107,Makayla,F,43,1971,2013,5.110597612046197,0.3148775814688104
108,Mariah,F,74,1940,2013,5.426974269454996,0.31071197217061763
109,Tamara,F,74,1940,2013,7.536937649374686,0.3083031265780602
110,Jaden,M,40,1970,2013,3.2868947138860083,0.3016290575600338
111,Irene,F,74,1940,2013,6.161604310476922,0.2971171675471434
112,Jamie,M,74,1940,2013,4.688964185007468,0.2944854212835946
113,Ariel,F,70,1941,2013,3.2419723165551217,0.288625693555271
114,Bella,F,74,1940,2013,2.0376986978961,0.28817402866840575
115,Anita,F,74,1940,2013,9.249311959007201,0.2872439992560301
116,Anne,F,74,1940,2013,12.118208176542517,0.2855616644286233
117,Sherri,F,74,1940,2013,4.707704825938807,0.28337196553042865
118,Mitchell,M,74,1940,2013,7.890280518498125,0.2781945114066482
119,Juanita,F,74,1940,2013,5.780267382796947,0.2771752440261694
120,Jim,M,74,1940,2013,6.003491579940115,0.27501361489873594
121,Sadie,F,74,1940,2013,3.12204940774009,0.2656869914719888
122,Jeanne,F,74,1940,2013,6.079356126129534,0.25745538606851304
123,Joel,M,74,1940,2013,12.959020670325339,0.256329321506602
124,Jay,M,74,1940,2013,8.670198956969088,0.25244201546629336
125,Molly,F,74,1940,2013,8.254716985968466,0.24807938540332905
126,Edna,F,74,1940,2013,3.499890518186592,0.24796207535947942
127,Jon,M,74,1940,2013,8.657915642735333,0.24712449164880387
128,Genesis,F,46,1964,2013,2.6032212996238298,0.2464543397269424
129,Eddie,M,74,1940,2013,8.370115024465582,0.24349122906762646
130,Jase,M,45,1967,2013,0.5517595693735848,0.24221640028918492
131,Ray,M,74,1940,2013,6.215855549767998,0.24101916676230922
132,Maureen,F,74,1940,2013,7.476605800557897,0.2401779130553599
133,Josephine,F,74,1940,2013,5.272246006234027,0.23974040513591996
134,Miguel,M,74,1940,2013,8.430634636202539,0.23926713420251763
135,Jeanette,F,74,1940,2013,6.081608943413682,0.2385159010600707
136,Becky,F,74,1940,2013,4.770177926830378,0.23490110376825465
137,Jada,F,64,1944,2013,3.3351469640236404,0.2308230937990479
138,Shelly,F,74,1940,2013,4.872135050343572,0.2280381742287309
139,Lee,M,74,1940,2013,8.567251126102187,0.22634918525511527
140,Jake,M,74,1940,2013,5.4064165460812115,0.22541300919053578
141,Sheena,F,71,1943,2013,1.2871824134036627,0.21380027916445568
142,Isabel,F,74,1940,2013,4.608287629477136,0.2110961670267471
143,Jackie,F,74,1940,2013,4.501206723888034,0.2106393441972802
144,Marian,F,74,1940,2013,2.826298933737648,0.20672936530376704
145,Micah,M,67,1946,2013,3.9348564161633615,0.19836012405059533
146,Joanna,F,74,1940,2013,5.223757482554488,0.19757807899438998
147,Eva,F,74,1940,2013,6.245834221793033,0.19740919690582914
148,Naomi,F,74,1940,2013,5.29165265556359,0.19578148482981406
149,Asher,M,74,1940,2013,1.4336847587272648,0.19572880526346442
150,Michaela,F,74,1940,2013,2.6522494443046036,0.19532563565618322
151,Kaleb,M,44,1970,2013,3.33441298821861,0.19089428691861143
152,Bethany,F,74,1940,2013,5.398869475166612,0.18954858779396863
153,Mateo,M,70,1940,2013,1.2241475415043284,0.18953045926003506
154,Elias,M,74,1940,2013,2.7728589189730006,0.18552290796471432
155,Marion,F,74,1940,2013,2.7043487180014742,0.18472518629954868
156,Gabriela,F,73,1940,2013,4.08794864891409,0.18409153294005684
157,Giovanni,M,66,1946,2013,2.751597740611234,0.17925522043582698
158,Jalen,M,28,1976,2013,1.7470325028149394,0.17902935816471718
159,Ivan,M,74,1940,2013,5.188102756034608,0.1743684879775525
160,Dan,M,74,1940,2013,4.285241823208321,0.17424346740256041
161,Daniela,F,63,1947,2013,2.890288222305683,0.16851813784393715
162,Jackie,M,74,1940,2013,3.390046677181904,0.16292308873871814
163,Rachael,F,74,1940,2013,4.5378812191824185,0.1629059052959093
