,name,sex,year_count,year_min,year_max,pct_sum,pct_max
0,Mary,F,74,1940,2013,117.51702691365853,4.915246825035861
1,Gary,M,74,1940,2013,47.17681669958864,2.0264601964685007
2,Kylie,F,50,1960,2013,5.15260231827104,0.3045180774050107
3,Katina,F,74,1940,2013,0.7132195939660237,0.18045178026035016
4,Kara,F,74,1940,2013,5.586110813292184,0.17488262910798122
5,Kari,F,74,1940,2013,3.4527753491395274,0.15216335401510933
6,Kyla,F,67,1940,2013,1.9731704952054718,0.1110725783233439
7,Garry,M,74,1940,2013,2.4452140188983122,0.10867377742000402
8,Kyra,F,74,1940,2013,1.803753755279277,0.10362379792058689
9,Daryl,M,74,1940,2013,3.1731024510496755,0.0965315851884517
10,Cara,F,74,1940,2013,2.8503234254827077,0.09204649163264121
11,Alina,F,68,1941,2013,1.2559897852574273,0.09040861044310641
12,Catina,F,47,1949,2011,0.27411406409694283,0.09006154424651357
13,Marla,F,74,1940,2013,2.103790521949336,0.08830139527459636
14,Mayra,F,65,1948,2013,1.7901343757693937,0.08760443854711947
15,Kira,F,62,1948,2013,1.7404457932541701,0.07517061073004917
16,Marina,F,74,1940,2013,1.8451377449639392,0.07322370879485653
17,Ira,M,74,1940,2013,1.506620095814623,0.05504314730922299
18,Marlee,F,74,1940,2013,0.5341327125594335,0.04711768556232493
19,Cary,M,74,1940,2013,1.2061888753575198,0.042714919951567336
20,Darrel,M,74,1940,2013,1.2935983995141294,0.04081706619354538
21,Nyah,F,29,1980,2013,0.21532400807206364,0.030407150071793114
22,Caryn,F,74,1940,2013,0.7017281128876636,0.02787620697743727
23,Mary,M,69,1940,2012,0.3982033955342867,0.026147084686351477
24,Callen,M,45,1954,2013,0.13547834483937157,0.02390072560695124
25,Mara,F,74,1940,2013,1.0310431415747463,0.023682802204340048
26,Carie,F,56,1949,2007,0.25322434358321444,0.021363933584786148
27,Marin,F,59,1943,2013,0.24999469562454268,0.016883221777271744
28,Maira,F,62,1944,2013,0.3171213391386606,0.015733472800623264
29,Callan,M,37,1957,2013,0.0971885464415441,0.015175260904947828
30,Lyra,F,53,1946,2013,0.11807401830415692,0.014165366255333605
31,Cary,F,72,1940,2013,0.28320037817077254,0.01399518675341853
32,Karri,F,60,1953,2013,0.2610852145004478,0.013787586530756556
33,Yara,F,44,1969,2013,0.16347330247619246,0.013287720843223133
34,Tana,F,74,1940,2013,0.5258479468109098,0.012959986043091953
35,Kylene,F,53,1948,2013,0.09366141528055508,0.012773063167470435
36,Carri,F,50,1953,2006,0.20649634201002967,0.01173125948448318
37,Marlana,F,74,1940,2013,0.16130777821115078,0.011034270223401532
38,Kirra,F,36,1975,2013,0.10983154136277265,0.01075915654572774
39,Daryl,F,74,1940,2013,0.23286916714394348,0.00963118402274127
40,Alba,F,74,1940,2013,0.22962716333172048,0.00840708728975084
41,Kye,M,55,1956,2013,0.13126117884569838,0.008298974521619621
42,Calla,F,67,1940,2013,0.12583544183341214,0.008004007762160046
43,Tarra,F,57,1955,2013,0.13687726813640422,0.0076913873553591874
44,Marah,F,47,1964,2013,0.11257724557317282,0.00632519346367594
45,Ira,F,72,1940,2013,0.1381761977791625,0.005947591225553651
46,Arika,F,46,1966,2013,0.12388953759198457,0.005917241570004562
47,Arica,F,48,1965,2013,0.1348382975864614,0.005680363961159369
48,Calen,M,37,1977,2013,0.09726667500471045,0.005444550163865102
49,Toma,M,34,1973,2013,0.02610051920914988,0.0053398564341455845
50,Kawana,F,36,1957,2001,0.05935444535472667,0.005158031642891841
51,Gary,F,58,1940,1997,0.17627659440077198,0.005077195943658921
52,Marly,F,50,1949,2013,0.07033505792627869,0.004717068633348615
53,Nada,F,74,1940,2013,0.1793295164049549,0.004344068259416473
54,Oran,M,74,1940,2013,0.10953050058166866,0.004153544317096232
55,Meta,F,69,1940,2012,0.08972073194434027,0.0038910602476866824
56,Calin,M,36,1960,2013,0.043979320988125355,0.0033830214610423934
57,Darel,M,74,1940,2013,0.08944121901400406,0.0033654663457680124
58,Callan,F,32,1982,2013,0.05413616653637266,0.002809504892190869
59,Kania,F,28,1981,2013,0.030747547543954718,0.0027005071442192064
60,Calan,M,30,1984,2013,0.027956042503584033,0.002404706952478286
61,Kanya,F,38,1972,2013,0.029951668006242257,0.002397000622699075
62,Mayra,M,18,1978,1996,0.018211564650197878,0.0022282790348834365
63,Marinna,F,29,1968,2012,0.022777892477996067,0.0020728976475973154
64,Kylie,M,36,1972,2012,0.02214224394391081,0.002017570008418311
65,Raja,M,44,1967,2013,0.03515223938801562,0.0018546080054154554
66,Mee,F,24,1948,1996,0.020134446327199487,0.0017964728052940855
67,Tamora,F,40,1957,2012,0.03740475069914139,0.0017733569704655977
